transaction_id,parent,parent_type,child,child_type,rel_type,date
2289-34-2_tr_28,Minister of Investment Promotion,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_29,Minister of Technology,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_30,"Minister of Women, Child Affairs and Social Empowerment",cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_31,"Minister of Trade, Commerce and Food Security",cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_32,Minister of Labour and Foreign Employment,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_33,Minister of Sports and Youth Affairs,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_34,Minister of Power & Energy,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_35,Minister of Tourism and Lands,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_36,"Minister of Justice, Prisons Affairs and Constitutional Reforms",cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_37,Minister of Transport and Highways,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_38,"Minister of Ports, Shipping and Aviation",cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_39,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_40,State Minister of Highways,stateMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_41,Minister of Plantation Industries,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_42,"Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_43,Minister of Wildlife and Forest Resources Conservation,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_44,Minister of Foreign Affairs,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_46,Minister of Public Security,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_47,Minister of Mass Media,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_48,Minister of Industries,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_49,Minister of Water Supply,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_50,Minister of Fisheries,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_51,Minister of Irrigation,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_52,Minister of Agriculture,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_53,Minister of Environment,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_54,Minister of Health,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_55,Minister of Urban Development and Housing,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_56,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_57,Minister of Defence,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
2289-34-2_tr_58,Minister of Education,cabinetMinister,Ranil Wickremesinghe,citizen,AS_APPOINTED,2022-07-20
